Lead_ID,Lead_Date,Ad_Campaign_Name,Ad_Set_Name,Ad_Spend,Impressions,Clicks,CTR (%),CPC,Form_Submit_Time,Lead_Source,Age,Gender,Location,Treatment_Interest,Preferred_Slot,Response_Time (mins),No_of_Followups,Engagement_Score,Consent_Status,Lead_Score,Appointment_Booked,Appointment_Date,Created_Week
LEAD_1126,2025-07-10,SmileCare_Promo,Men_30plus,270.3,4238,175,4.13,1.54,2025-07-10 23:37:00,Facebook,49,Female,Kolkata,Dental,Morning,137,3,84,True,49.05,1,2025-07-12,28
LEAD_1127,2025-06-07,SmileCare_Promo,Target_Women_25_45,101.01,2074,168,8.1,0.6,2025-06-07 17:49:00,Facebook,44,Other,Bangalore,Dental,Afternoon,6,5,68,True,56.3,1,2025-06-12,23
LEAD_1128,2025-04-23,SmileCare_Promo,Youngsters_Fitness,333.82,2564,113,4.41,2.95,2025-04-23 20:56:00,Facebook,49,Female,Kolkata,Dental,Evening,192,5,74,True,30.8,1,2025-04-25,17
LEAD_1129,2025-03-01,SmileCare_Promo,Retarget_OldLeads,192.26,2882,46,1.6,4.18,2025-03-01 03:11:00,Facebook,34,Other,Bangalore,Hair,Afternoon,200,4,71,True,31.4,0,,9
LEAD_1130,2025-01-12,Wellness_Boost,Youngsters_Fitness,623.95,1417,154,10.87,4.05,2025-01-12 11:43:00,Facebook,64,Female,Mumbai,Skin,Afternoon,197,2,95,True,47.45,0,,2
LEAD_1131,2025-07-23,Wellness_Boost,Youngsters_Fitness,782.44,4247,189,4.45,4.14,2025-07-23 07:38:00,Facebook,40,Other,Ranchi,Skin,Evening,11,5,50,True,48.35,1,2025-07-26,30
LEAD_1132,2025-01-26,Wellness_Boost,Retarget_OldLeads,521.69,4053,183,4.52,2.85,2025-01-26 02:36:00,Facebook,28,Other,Mumbai,Dental,Morning,8,1,74,True,70.4,1,2025-01-31,4
LEAD_1133,2025-05-10,Wellness_Boost,GeneralAudience,218.2,3655,31,0.85,7.04,2025-05-10 05:02:00,Facebook,33,Male,Kolkata,Skin,Afternoon,199,1,83,True,45.35,0,,19
LEAD_1134,2025-03-25,SmileCare_Promo,Target_Women_25_45,498.07,2182,194,8.89,2.57,2025-03-25 19:46:00,Facebook,42,Male,Bangalore,Hair,Afternoon,5,2,99,True,77.85,0,,13
LEAD_1135,2025-01-12,SmileCare_Promo,Target_Women_25_45,524.38,2309,24,1.04,21.85,2025-01-12 03:18:00,Facebook,20,Female,Bangalore,Hair,Afternoon,31,4,85,True,62.35,1,2025-01-15,2
LEAD_1136,2025-06-30,HairRevive_Offer,Retarget_OldLeads,654.99,4399,131,2.98,5.0,2025-06-30 08:40:00,Facebook,55,Female,Bangalore,Skin,Afternoon,50,1,69,True,62.1,1,2025-07-04,27
LEAD_1137,2025-08-02,Wellness_Boost,Men_30plus,817.8,616,139,22.56,5.88,2025-08-02 23:09:00,Facebook,64,Female,Bangalore,Dental,Afternoon,143,5,56,True,30.95,1,2025-08-04,31
LEAD_1138,2025-04-05,SmileCare_Promo,Retarget_OldLeads,691.29,665,41,6.17,16.86,2025-04-05 18:31:00,Facebook,58,Other,Ranchi,Wellness,Morning,221,1,99,True,48.45,1,2025-04-11,14
LEAD_1139,2025-03-17,HairRevive_Offer,Target_Women_25_45,228.25,3436,55,1.6,4.15,2025-03-17 04:01:00,Facebook,50,Other,Kolkata,Wellness,Afternoon,84,4,59,True,44.0,0,,12
LEAD_1140,2025-01-02,SmileCare_Promo,Target_Women_25_45,129.88,3348,167,4.99,0.78,2025-01-02 01:29:00,Facebook,63,Female,Delhi,Dental,Evening,120,2,61,True,45.4,0,,1
LEAD_1141,2025-05-02,Wellness_Boost,Youngsters_Fitness,250.73,4738,115,2.43,2.18,2025-05-02 18:16:00,Facebook,56,Female,Mumbai,Dental,Evening,53,3,42,True,44.85,0,,18
LEAD_1142,2025-08-11,SmileCare_Promo,Retarget_OldLeads,738.15,1939,50,2.58,14.76,2025-08-11 06:22:00,Facebook,24,Female,Mumbai,Wellness,Morning,12,2,67,True,64.0,1,2025-08-14,33
LEAD_1143,2025-03-25,DentalCare_2025,Men_30plus,637.73,707,141,19.94,4.52,2025-03-25 16:10:00,Facebook,35,Male,Mumbai,Hair,Afternoon,26,2,42,True,51.9,1,2025-03-31,13
LEAD_1144,2025-01-12,SmileCare_Promo,Retarget_OldLeads,243.59,2634,21,0.8,11.6,2025-01-12 11:24:00,Facebook,25,Male,Bangalore,Dental,Morning,49,3,97,True,67.45,0,,2
LEAD_1145,2025-08-09,HairRevive_Offer,Youngsters_Fitness,692.84,4202,62,1.48,11.17,2025-08-09 09:08:00,Facebook,49,Other,Delhi,Hair,Evening,55,4,57,True,47.55,0,,32
LEAD_1146,2025-02-28,Wellness_Boost,Retarget_OldLeads,298.51,3471,44,1.27,6.78,2025-02-28 02:38:00,Facebook,41,Male,Kolkata,Wellness,Afternoon,186,1,46,True,32.5,0,,9
LEAD_1147,2025-01-04,DentalCare_2025,Target_Women_25_45,790.95,3279,117,3.57,6.76,2025-01-04 21:13:00,Facebook,51,Other,Bangalore,Wellness,Morning,192,2,88,True,45.4,0,,1
LEAD_1148,2025-08-16,Wellness_Boost,Retarget_OldLeads,910.63,3125,88,2.82,10.35,2025-08-16 21:31:00,Facebook,20,Female,Kolkata,Hair,Afternoon,10,2,90,True,73.5,0,,33
LEAD_1149,2025-08-25,DentalCare_2025,Target_Women_25_45,852.4,1029,49,4.76,17.4,2025-08-25 22:01:00,Facebook,61,Female,Kolkata,Wellness,Afternoon,229,3,65,True,27.65,0,,35
LEAD_1150,2025-01-14,HairRevive_Offer,Retarget_OldLeads,471.73,501,128,25.55,3.69,2025-01-14 00:13:00,Facebook,56,Female,Bangalore,Hair,Afternoon,170,5,80,True,36.5,0,,3
LEAD_1151,2025-03-25,Wellness_Boost,GeneralAudience,686.91,629,79,12.56,8.7,2025-03-25 07:39:00,Facebook,53,Female,Ranchi,Dental,Morning,93,1,67,True,54.85,0,,13
LEAD_1152,2025-01-10,SmileCare_Promo,Target_Women_25_45,252.78,4278,127,2.97,1.99,2025-01-10 21:39:00,Facebook,25,Male,Mumbai,Hair,Afternoon,206,5,49,True,18.7,1,2025-01-15,2
LEAD_1153,2025-06-20,Wellness_Boost,Youngsters_Fitness,423.33,2860,73,2.55,5.8,2025-06-20 02:44:00,Facebook,61,Female,Kolkata,Hair,Evening,32,1,82,True,70.0,0,,25
LEAD_1154,2025-06-05,DentalCare_2025,Target_Women_25_45,285.26,1890,143,7.57,1.99,2025-06-05 16:08:00,Facebook,54,Other,Ranchi,Wellness,Afternoon,193,4,89,False,39.65,0,,23
LEAD_1155,2025-01-20,SkinGlow_AdSet,Target_Women_25_45,676.0,781,38,4.87,17.79,2025-01-20 20:29:00,Facebook,29,Female,Mumbai,Skin,Afternoon,39,5,92,True,60.95,1,2025-01-23,4
LEAD_1156,2025-06-30,SkinGlow_AdSet,GeneralAudience,115.64,2789,52,1.86,2.22,2025-06-30 08:14:00,Facebook,60,Male,Ranchi,Wellness,Morning,221,2,68,True,33.05,0,,27
LEAD_1157,2025-06-27,HairRevive_Offer,Men_30plus,579.02,1418,181,12.76,3.2,2025-06-27 22:44:00,Facebook,18,Female,Delhi,Skin,Morning,155,5,91,True,43.15,1,2025-06-29,26
LEAD_1158,2025-09-21,SmileCare_Promo,Youngsters_Fitness,329.78,2018,95,4.71,3.47,2025-09-21 19:28:00,Facebook,43,Other,Kolkata,Skin,Evening,197,2,82,True,42.25,0,,38
LEAD_1159,2025-05-16,SkinGlow_AdSet,GeneralAudience,127.35,802,122,15.21,1.04,2025-05-16 21:50:00,Facebook,33,Other,Kolkata,Wellness,Afternoon,76,1,85,True,64.6,0,,20
LEAD_1160,2025-05-22,SmileCare_Promo,Target_Women_25_45,686.11,3624,57,1.57,12.04,2025-05-22 09:34:00,Facebook,26,Male,Delhi,Dental,Afternoon,94,4,41,False,35.3,0,,21
LEAD_1161,2025-06-10,Wellness_Boost,Men_30plus,359.82,3132,86,2.75,4.18,2025-06-10 00:18:00,Facebook,23,Male,Delhi,Skin,Morning,207,4,73,True,31.15,1,2025-06-16,24
LEAD_1162,2025-03-23,DentalCare_2025,Retarget_OldLeads,492.02,1500,32,2.13,15.38,2025-03-23 12:04:00,Facebook,32,Male,Delhi,Skin,Morning,79,1,63,True,55.35,0,,12
LEAD_1163,2025-03-06,HairRevive_Offer,Youngsters_Fitness,725.92,3647,152,4.17,4.78,2025-03-06 04:50:00,Facebook,61,Other,Kolkata,Wellness,Morning,64,5,64,True,46.0,0,,10
LEAD_1164,2025-04-12,DentalCare_2025,GeneralAudience,251.6,3838,108,2.81,2.33,2025-04-12 05:27:00,Facebook,19,Other,Bangalore,Hair,Evening,210,2,41,True,23.9,1,2025-04-14,15
LEAD_1165,2025-04-27,SmileCare_Promo,Youngsters_Fitness,442.18,1677,162,9.66,2.73,2025-04-27 15:43:00,Facebook,40,Other,Delhi,Hair,Morning,230,5,54,True,17.1,0,,17
LEAD_1166,2025-01-21,SmileCare_Promo,GeneralAudience,106.81,906,116,12.8,0.92,2025-01-21 11:54:00,Facebook,32,Male,Bangalore,Skin,Morning,51,5,99,False,61.95,0,,4
LEAD_1167,2025-05-21,SmileCare_Promo,Men_30plus,356.39,1463,126,8.61,2.83,2025-05-21 01:45:00,Facebook,53,Female,Kolkata,Wellness,Afternoon,31,5,86,True,59.75,0,,21
LEAD_1168,2025-06-07,DentalCare_2025,GeneralAudience,345.36,2181,11,0.5,31.4,2025-06-07 17:42:00,Facebook,30,Male,Delhi,Hair,Afternoon,136,2,64,True,44.2,1,2025-06-11,23
LEAD_1169,2025-06-08,DentalCare_2025,Target_Women_25_45,814.07,4154,65,1.56,12.52,2025-06-08 23:28:00,Facebook,61,Male,Mumbai,Skin,Afternoon,193,2,95,False,48.05,0,,23
LEAD_1170,2025-06-22,DentalCare_2025,Youngsters_Fitness,641.45,3438,150,4.36,4.28,2025-06-22 00:09:00,Facebook,41,Other,Bangalore,Wellness,Evening,122,5,61,True,36.1,0,,25
LEAD_1171,2025-05-01,Wellness_Boost,GeneralAudience,910.02,2160,179,8.29,5.08,2025-05-01 18:03:00,Facebook,56,Other,Delhi,Dental,Morning,212,1,65,True,36.2,1,2025-05-04,18
LEAD_1172,2025-07-21,SmileCare_Promo,Retarget_OldLeads,661.47,645,156,24.19,4.24,2025-07-21 20:49:00,Facebook,50,Male,Bangalore,Wellness,Afternoon,229,2,44,True,22.25,0,,30
LEAD_1173,2025-04-29,SkinGlow_AdSet,GeneralAudience,381.04,1161,185,15.93,2.06,2025-04-29 18:20:00,Facebook,42,Other,Kolkata,Wellness,Morning,167,4,46,True,26.35,1,2025-05-05,18
LEAD_1174,2025-09-15,Wellness_Boost,Retarget_OldLeads,637.34,1843,44,2.39,14.49,2025-09-15 07:38:00,Facebook,56,Other,Ranchi,Skin,Afternoon,150,3,81,True,45.9,0,,38
LEAD_1175,2025-07-07,SkinGlow_AdSet,Youngsters_Fitness,642.9,2849,28,0.98,22.96,2025-07-07 05:52:00,Facebook,53,Female,Ranchi,Wellness,Evening,106,2,71,True,51.5,1,2025-07-12,28
LEAD_1176,2025-03-14,DentalCare_2025,GeneralAudience,419.5,2414,79,3.27,5.31,2025-03-14 07:07:00,Facebook,44,Other,Delhi,Dental,Morning,200,5,88,True,35.2,0,,11
LEAD_1177,2025-06-09,Wellness_Boost,Target_Women_25_45,712.12,3323,59,1.78,12.07,2025-06-09 12:06:00,Facebook,61,Other,Kolkata,Wellness,Afternoon,48,5,97,True,61.6,0,,24
LEAD_1178,2025-09-15,SmileCare_Promo,Target_Women_25_45,757.59,3161,44,1.39,17.22,2025-09-15 04:46:00,Facebook,64,Other,Ranchi,Skin,Afternoon,34,4,47,True,46.7,1,2025-09-20,38
LEAD_1179,2025-07-27,HairRevive_Offer,GeneralAudience,480.42,3165,199,6.29,2.41,2025-07-27 08:34:00,Facebook,33,Female,Ranchi,Skin,Morning,59,4,56,True,46.55,0,,30
LEAD_1180,2025-01-30,HairRevive_Offer,Target_Women_25_45,459.38,736,32,4.35,14.36,2025-01-30 04:45:00,Facebook,38,Male,Kolkata,Dental,Evening,108,5,59,True,37.4,0,,5
LEAD_1181,2025-03-25,HairRevive_Offer,Youngsters_Fitness,180.21,4537,159,3.5,1.13,2025-03-25 12:17:00,Facebook,31,Male,Bangalore,Skin,Afternoon,235,1,92,True,43.55,0,,13
LEAD_1182,2025-05-31,HairRevive_Offer,Retarget_OldLeads,178.88,2101,114,5.43,1.57,2025-05-31 23:50:00,Facebook,43,Other,Delhi,Dental,Morning,223,1,48,True,27.75,0,,22
LEAD_1183,2025-07-15,HairRevive_Offer,Target_Women_25_45,927.45,4906,15,0.31,61.83,2025-07-15 09:20:00,Facebook,59,Female,Kolkata,Wellness,Morning,175,4,76,True,37.15,0,,29
LEAD_1184,2025-06-15,SmileCare_Promo,GeneralAudience,442.56,1093,182,16.65,2.43,2025-06-15 01:12:00,Facebook,32,Other,Ranchi,Hair,Evening,220,2,69,True,33.6,1,2025-06-19,24
LEAD_1185,2025-06-12,HairRevive_Offer,Retarget_OldLeads,411.49,4725,172,3.64,2.39,2025-06-12 21:52:00,Facebook,53,Other,Kolkata,Skin,Afternoon,24,2,49,True,55.0,1,2025-06-18,24
LEAD_1186,2025-04-05,SmileCare_Promo,Retarget_OldLeads,788.33,1633,89,5.45,8.86,2025-04-05 15:01:00,Facebook,42,Other,Ranchi,Dental,Afternoon,129,4,42,False,30.45,0,,14
LEAD_1187,2025-05-21,SkinGlow_AdSet,GeneralAudience,530.41,3029,145,4.79,3.66,2025-05-21 17:15:00,Facebook,49,Female,Kolkata,Hair,Evening,200,1,54,False,33.6,0,,21
LEAD_1188,2025-05-08,SkinGlow_AdSet,Retarget_OldLeads,380.63,4179,101,2.42,3.77,2025-05-08 11:11:00,Facebook,46,Male,Ranchi,Hair,Morning,82,4,57,True,43.5,0,,19
LEAD_1189,2025-02-12,HairRevive_Offer,GeneralAudience,685.18,4849,139,2.87,4.93,2025-02-12 10:41:00,Facebook,28,Female,Mumbai,Hair,Evening,215,3,44,True,21.35,0,,7
LEAD_1190,2025-06-27,Wellness_Boost,Retarget_OldLeads,367.62,2450,65,2.65,5.66,2025-06-27 14:42:00,Facebook,24,Female,Kolkata,Skin,Evening,219,3,48,True,22.35,1,2025-07-03,26
LEAD_1191,2025-03-21,SmileCare_Promo,Target_Women_25_45,558.48,899,106,11.79,5.27,2025-03-21 06:59:00,Facebook,55,Male,Bangalore,Hair,Evening,107,1,76,True,56.35,1,2025-03-25,12
LEAD_1192,2025-08-19,HairRevive_Offer,Retarget_OldLeads,464.32,2008,125,6.23,3.71,2025-08-19 09:57:00,Facebook,22,Male,Mumbai,Wellness,Morning,231,3,67,True,28.15,1,2025-08-24,34
LEAD_1193,2025-07-02,DentalCare_2025,Youngsters_Fitness,533.21,4981,71,1.43,7.51,2025-07-02 01:04:00,Facebook,30,Male,Bangalore,Skin,Evening,234,5,49,True,14.5,1,2025-07-07,27
LEAD_1194,2025-08-01,SkinGlow_AdSet,GeneralAudience,821.38,2509,190,7.57,4.32,2025-08-01 11:42:00,Facebook,38,Other,Kolkata,Wellness,Afternoon,177,4,56,True,28.85,0,,31
LEAD_1195,2025-09-13,Wellness_Boost,Youngsters_Fitness,539.42,4778,126,2.64,4.28,2025-09-13 20:50:00,Facebook,58,Female,Mumbai,Wellness,Evening,200,2,91,True,45.4,0,,37
LEAD_1196,2025-08-09,SkinGlow_AdSet,Men_30plus,513.5,1959,166,8.47,3.09,2025-08-09 07:04:00,Facebook,18,Other,Kolkata,Skin,Morning,25,2,52,True,56.05,1,2025-08-10,32
LEAD_1197,2025-05-10,Wellness_Boost,Target_Women_25_45,329.2,1071,57,5.32,5.78,2025-05-10 21:47:00,Facebook,28,Other,Ranchi,Wellness,Afternoon,14,2,97,True,75.7,0,,19
LEAD_1198,2025-09-04,DentalCare_2025,Target_Women_25_45,905.61,3349,17,0.51,53.27,2025-09-04 19:56:00,Facebook,36,Other,Delhi,Dental,Morning,204,1,54,True,33.0,0,,36
LEAD_1199,2025-03-10,DentalCare_2025,GeneralAudience,137.51,2648,17,0.64,8.09,2025-03-10 02:27:00,Facebook,38,Male,Bangalore,Dental,Evening,91,3,40,True,38.35,1,2025-03-11,11
